time,SLP_N,SNO_N,TS_N,Extent_Had_Diff_N
2035-07-01,100967.16,4.5380693e-06,277.58496,-2.977003384521714
2035-08-01,100953.53,5.2648334e-06,276.22888,-1.9757443643106676
2035-09-01,101309.56,8.060253e-06,270.60657,-1.292476026740383
2035-10-01,100789.36,1.0842602e-05,261.57635,-2.1364287294451447
2035-11-01,100939.66,1.03267e-05,253.64984,-3.1187777425255234
2035-12-01,101214.6,9.171591e-06,248.36632,-3.5719500241207633
2036-01-01,100815.58,8.607621e-06,245.44221,-4.060909919363807
2036-02-01,101048.484,8.791018e-06,246.54353,-4.123335391999996
2036-03-01,102516.42,7.021501e-06,248.62434,-3.873948406661711
2036-04-01,101411.27,8.775343e-06,257.40244,-3.220278370950094
2036-05-01,101677.766,7.4991904e-06,266.33746,-2.3369448746758046
2036-06-01,101155.36,5.125705e-06,274.69363,-2.206179888746668
2036-07-01,100801.02,4.5105776e-06,277.33725,-2.5201367947457136
2036-08-01,101645.62,3.1711518e-06,275.8895,-1.6012064669546664
2036-09-01,100759.41,9.364144e-06,270.89154,-0.9057554684403817
2036-10-01,100968.22,1.1355997e-05,260.4938,-1.5350612955651428
2036-11-01,100893.375,1.045447e-05,251.35553,-2.688055649061523
2036-12-01,100906.19,9.346794e-06,247.59618,-3.2953775716047637
2037-01-01,100693.03,8.979136e-06,246.21497,-3.9720935330518063
2037-02-01,100932.22,8.383574e-06,243.36578,-3.6430634913119953
2037-03-01,101972.484,7.5658486e-06,248.76198,-3.7513096351497097
2037-04-01,101417.98,8.200869e-06,256.79874,-2.8448303263260932
2037-05-01,101442.555,7.776177e-06,266.77972,-1.9863711019478032
2037-06-01,101704.09,3.4433965e-06,274.9781,-2.3896532713786662
2037-07-01,101437.984,2.6968173e-06,277.65173,-2.930833496965711
2037-08-01,101236.89,5.3880617e-06,276.17892,-1.8912562818026677
2037-09-01,101472.664,9.491389e-06,269.58505,-0.7476642587363829
2037-10-01,101078.64,1.1082382e-05,259.95215,-1.7079715687131412
2037-11-01,100698.67,9.928175e-06,252.20485,-3.1457963450175193
2037-12-01,101733.8,8.325218e-06,248.44559,-3.2949002732327646
2038-01-01,101599.766,7.2968883e-06,244.5128,-3.7284044115078068
2038-02-01,102820.03,5.8015403e-06,243.93765,-3.7541198615439946
2038-03-01,101361.36,7.1645636e-06,246.76334,-3.1892683219577123
2038-04-01,101529.39,8.840814e-06,257.33316,-2.396742145986096
2038-05-01,101088.28,9.133694e-06,267.70663,-2.211626703087804
2038-06-01,101546.234,4.758756e-06,275.84335,-2.5109601155106684
2038-07-01,101244.31,2.2356435e-06,277.2411,-2.945925392509711
2038-08-01,100880.11,4.7103645e-06,275.88724,-2.0307662729506664
2038-09-01,101328.47,8.626516e-06,270.0357,-1.119350921264381
2038-10-01,100878.52,1.1404301e-05,260.2758,-1.7500602233971438
2038-11-01,101347.22,9.824722e-06,252.3648,-2.82214180866152
2038-12-01,101200.914,9.497325e-06,249.94896,-3.425806958216759
2039-01-01,101571.01,7.835815e-06,247.39226,-3.8019859361798094
2039-02-01,101300.82,7.678902e-06,244.9661,-3.8130243255039993
2039-03-01,101613.83,8.521285e-06,250.46729,-3.497062467685712
2039-04-01,101765.42,8.593435e-06,256.70172,-2.584352552542093
2039-05-01,101471.52,7.357524e-06,266.83673,-1.9562481258398048
2039-06-01,101277.75,4.2117335e-06,275.16544,-2.555015411714667
2039-07-01,101077.74,3.6423282e-06,277.54587,-2.5929398410057125
2039-08-01,101023.88,6.1124224e-06,275.9578,-2.1488941495026674
2039-09-01,100883.42,9.2511345e-06,271.33798,-1.3101680743043822
2039-10-01,100685.07,1.2635523e-05,262.30762,-2.6281953101891435
2039-11-01,101190.97,9.869715e-06,253.75574,-2.744114243225523
2039-12-01,101209.39,8.469983e-06,249.05377,-3.363694074916763
2040-01-01,101413.445,7.907197e-06,247.76111,-3.589387800507806
2040-02-01,101425.41,7.668422e-06,246.89932,-3.6801917486319944
2040-03-01,101501.28,8.288757e-06,249.72623,-3.384821455997713
2040-04-01,101938.055,8.63178e-06,257.18585,-2.9914123238780963
2040-05-01,101870.98,8.315891e-06,269.11966,-2.5068950261438054
2040-06-01,101723.67,2.489602e-06,275.553,-2.9602247123266707
2040-07-01,101221.55,4.2562724e-06,277.72208,-3.699302462085713
2040-08-01,101216.76,5.8472965e-06,276.47278,-2.7092106474466666
2040-09-01,100976.055,9.017449e-06,271.15402,-1.7521742738443828
2040-10-01,101104.4,1.0910599e-05,262.89468,-3.0895261458411465
2040-11-01,101257.945,9.476689e-06,253.42445,-3.621180794041523
2040-12-01,101080.99,8.611531e-06,249.59126,-4.058437515288762
2041-01-01,101305.7,7.790635e-06,245.01239,-4.189881272339811
2041-02-01,102715.15,6.470668e-06,245.80019,-4.293216438168001
2041-03-01,101961.66,7.0779347e-06,248.31252,-3.927319036757705
2041-04-01,101650.234,7.041299e-06,256.90826,-2.8795643793660943
2041-05-01,101796.72,6.694882e-06,266.81824,-2.036832338555808
2041-06-01,101313.14,3.97941e-06,275.46042,-2.678052879038667
2041-07-01,101141.1,4.163693e-06,277.33707,-3.1123625147097123
2041-08-01,101058.6,5.1617767e-06,276.2607,-2.500620395434665
2041-09-01,101105.195,9.433088e-06,271.16824,-1.4098123779243812
2041-10-01,101368.63,1.0627304e-05,261.28076,-2.640542654445147
2041-11-01,101582.64,9.778528e-06,253.43379,-2.9260204739575233
2041-12-01,100961.92,9.049703e-06,248.0874,-3.668707704832764
2042-01-01,101369.4,7.716594e-06,247.15414,-4.15126086437181
2042-02-01,100991.09,8.3283485e-06,245.2694,-4.342503291055998
2042-03-01,101119.31,8.284231e-06,249.92188,-4.094213294693711
2042-04-01,100861.63,8.999995e-06,256.9638,-3.399134043938094
2042-05-01,101022.43,9.724124e-06,267.83508,-2.528513139239804
2042-06-01,101124.81,4.1054755e-06,275.6187,-2.717270219478669
2042-07-01,101085.44,2.3185387e-06,277.92184,-3.125522431613714
2042-08-01,101190.16,5.583651e-06,276.17462,-2.3337052612386664
2042-09-01,100586.945,9.976448e-06,270.4241,-1.2452386704043823
2042-10-01,101468.8,1.1059127e-05,261.6739,-2.343750784153146
2042-11-01,101539.25,8.700612e-06,252.26753,-3.15473780709352
2042-12-01,101378.51,7.9784695e-06,247.34656,-3.6282831276087624
2043-01-01,101638.06,7.710257e-06,245.04704,-3.983535493819806
2043-02-01,101099.234,7.962274e-06,244.53499,-4.1981343237439965
2043-03-01,101606.4,7.710342e-06,247.11565,-3.9172361758697107
2043-04-01,101728.125,8.259147e-06,256.6109,-3.1530139739900953
2043-05-01,101711.58,8.075421e-06,266.73596,-2.4517534831598056
2043-06-01,101438.53,4.323836e-06,275.34598,-2.3612120810346653
2043-07-01,100976.375,3.2405271e-06,277.82977,-2.4609831215417124
2043-08-01,101372.5,4.3980344e-06,276.62442,-1.8630872175146669
2043-09-01,101071.42,8.8863035e-06,270.78366,-1.648044484292381
2043-10-01,101664.36,1.1368335e-05,262.27542,-2.120668282105143
2043-11-01,101000.055,1.1111826e-05,253.56633,-3.2045343193575224
2043-12-01,101287.89,8.841304e-06,249.83884,-3.584623631560765
2044-01-01,101994.62,7.1421796e-06,247.25471,-3.8959185878118063
2044-02-01,101852.48,8.27548e-06,247.55283,-3.908092925583995
2044-03-01,102163.73,7.322648e-06,248.7191,-3.6790390169977165
2044-04-01,101672.266,8.391761e-06,256.99045,-2.7886915111100947
2044-05-01,101486.375,7.5547973e-06,267.21252,-1.9482550277918076
2044-06-01,101732.95,4.2510874e-06,275.4019,-2.548250630794673
2044-07-01,101117.44,3.1604095e-06,277.55307,-3.040599915265714
2044-08-01,101046.664,4.3579485e-06,276.3129,-2.435829718902667
2044-09-01,101022.82,1.02010745e-05,270.5263,-1.7176302543443809
2044-10-01,101202.69,9.876889e-06,261.29092,-2.5755242961171447
2044-11-01,101920.63,9.711147e-06,251.45985,-3.0145594033375183
2044-12-01,100900.91,9.082941e-06,248.48393,-3.530730560520764
2045-01-01,100726.38,9.69916e-06,247.63695,-4.150883993947808
2045-02-01,102033.57,7.988666e-06,248.53133,-4.352688243175992
2045-03-01,101913.016,7.3582864e-06,248.35742,-3.90890864028572
2045-04-01,101927.41,7.1011696e-06,257.27322,-3.187067702018096
2045-05-01,101792.766,8.111109e-06,266.86337,-2.2250473872558096
2045-06-01,101433.65,3.4096795e-06,275.4313,-2.917853301746664
2045-07-01,101331.55,3.5237756e-06,277.8068,-3.691776696417712
2045-08-01,101267.84,4.086578e-06,276.71826,-2.3325630539986673
2045-09-01,101177.695,8.323003e-06,270.18735,-1.2774151043483828
2045-10-01,101491.76,1.1028155e-05,261.86047,-2.745326338481142
2045-11-01,101385.836,1.0382503e-05,254.1064,-3.364702352125523
2045-12-01,100574.31,1.0199315e-05,248.82475,-3.996824799584763
2046-01-01,101294.35,7.85785e-06,245.20676,-4.096828473507806
2046-02-01,101694.67,7.687194e-06,245.58646,-3.9943145340399973
2046-03-01,101407.17,7.666344e-06,250.02208,-3.7068630325657175
2046-04-01,101981.39,7.973881e-06,254.94156,-2.8442290273740944
